respondent_id,persona_label,q1_age_group,q2_activity_last_4weeks,q3_city_tier,q4_monthly_income,q5_fitness_goal,q6_motivation_type,q7_activity_level,q8_workout_home_workout,q8_workout_gym_weights,q8_workout_yoga_pilates,q8_workout_running_walking,q8_workout_hiit_functional,q8_workout_sports_outdoor,q8_workout_dance_zumba,q8_workout_no_exercise,q9_workout_time,q10_motivation_score,q11_diet_preference,q12_self_efficacy_score,q13_junk_food_frequency,q14_tech_adoption,q15_stress_level,q16_health_diabetes,q16_health_hypertension,q16_health_thyroid,q16_health_pcod_pcos,q16_health_joint_back_pain,q16_health_heart_condition,q16_health_none,q17_past_app_usage,q18_biggest_barrier,q19_current_fitness_spend,q20_willingness_to_pay,q21_addon_live_coaching,q21_addon_wearable_integration,q21_addon_supplements,q21_addon_dna_blood_test,q21_addon_corporate_team_plan,q21_addon_mental_wellness,q21_addon_no_addons,q22_data_comfort,q23_feature_rank1,q23_feature_rank2,q23_feature_rank3,q24_forced_tradeoff,q25_subscription_intent
RESP_0011,Aspiring Urban Professional,35-44,1-4 times,Tier 2,100000-200000,Weight loss,Energy and health,Moderately active,0,0,1,0,0,1,0,0,Early morning (<7AM),4,Vegetarian,5,Sometimes,Use 2+ apps actively,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes used before stopped,Habit/consistency,3001-5000,1000+/month,0,0,0,0,0,1,0,Neutral,progress_dashboards,gamification_rewards,ai_workout_plans,Proven measurable results,Interested
RESP_0012,Fitness Enthusiast,25-34,13+ times,Tier 3,Below 25000,Stress relief,Enjoy being active,Athlete,1,1,0,0,1,1,0,1,No fixed preference,5,No preference,5,Rarely,Use 2+ apps actively,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No but interested,No significant barrier,501-1500,300-599/month,0,1,0,1,0,0,0,Comfortable if secure,recovery_sleep_tracking,ai_workout_plans,gamification_rewards,Community features,Interested
RESP_0013,Homemaker Wellness Seeker,45-54,1-4 times,Tier 2,25000-50000,Stress relief,Energy and health,Highly active,1,0,1,1,1,0,0,0,Morning (7-10AM),2,Eggetarian,2,Sometimes,Open but not started,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes used before stopped,Habit/consistency,1501-3000,300-599/month,0,0,1,0,0,0,0,Comfortable if secure,recovery_sleep_tracking,ai_workout_plans,gamification_rewards,AI personalisation,Interested
RESP_0014,Aspiring Urban Professional,25-34,0 times,Metro,100000-200000,Stress relief,Look better/confident,Lightly active,0,1,1,1,1,0,0,0,Evening (5-8PM),3,Eggetarian,4,Sometimes,Not comfortable,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Yes currently using,No significant barrier,1-500,99-299/month,1,0,0,0,0,0,0,Very comfortable,progress_dashboards,gamification_rewards,live_coach_access,AI personalisation,Undecided
RESP_0015,Aspiring Urban Professional,35-44,0 times,Tier 2,50000-100000,Muscle gain,Sports performance,Moderately active,0,0,0,0,0,1,0,0,Early morning (<7AM),5,Vegetarian,3,Often,Use 1 app occasionally,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No but interested,Privacy concern,501-1500,99-299/month,1,1,0,0,0,0,0,Very comfortable,progress_dashboards,indian_diet_plans,community_challenges,AI personalisation,Undecided
RESP_0016,Aspiring Urban Professional,35-44,5-8 times,Tier 3,,General fitness,Social pressure,Lightly active,1,1,0,0,0,0,0,1,Morning (7-10AM),3,Vegan,5,Often,Use 1 app occasionally,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No but interested,Habit/consistency,1-500,300-599/month,0,0,1,0,0,0,0,Neutral,diet_calorie_tracking,community_challenges,live_coach_access,Proven measurable results,Undecided
RESP_0017,Budget-Conscious Student,18-24,1-4 times,Rural,25000-50000,Weight loss,Sports performance,Highly active,0,1,0,0,1,0,0,0,Evening (5-8PM),2,Vegetarian,3,Often,Use 1 app occasionally,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No but interested,Cost,0,Nothing (free only),0,1,1,0,0,0,0,Comfortable if secure,indian_diet_plans,diet_calorie_tracking,gamification_rewards,Human coach access,Not Interested
RESP_0018,Health-Driven Middle-Ager,45-54,5-8 times,Tier 2,100000-200000,Flexibility,Enjoy being active,Lightly active,0,0,0,1,0,0,0,0,Morning (7-10AM),5,Vegetarian,5,Sometimes,Use 1 app occasionally,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,No but interested,AI scepticism,501-1500,600-999/month,0,1,0,1,0,0,0,Comfortable if secure,progress_dashboards,indian_diet_plans,ai_workout_plans,Community features,Interested
RESP_0019,Budget-Conscious Student,18-24,5-8 times,Tier 3,100000-200000,Muscle gain,Social pressure,Lightly active,0,0,0,1,1,0,1,0,Morning (7-10AM),2,Vegetarian,2,Sometimes,Open but not started,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes currently using,Cost,1501-3000,300-599/month,0,0,0,0,0,0,1,Comfortable if secure,community_challenges,ai_workout_plans,progress_dashboards,Low price,Not Interested
RESP_0020,Budget-Conscious Student,18-24,0 times,Tier 3,Below 25000,General fitness,Energy and health,Highly active,0,0,1,1,0,0,0,0,Evening (5-8PM),5,Eggetarian,2,Often,Use 1 app occasionally,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No but interested,Habit/consistency,501-1500,99-299/month,0,0,0,0,0,0,0,Neutral,indian_diet_plans,gamification_rewards,progress_dashboards,AI personalisation,Undecided
RESP_0021,Sedentary Skeptic,18-24,1-4 times,Tier 3,Below 25000,General fitness,Enjoy being active,Sedentary,0,0,0,0,0,0,0,1,Evening (5-8PM),1,Eggetarian,2,Often,Not comfortable,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Yes used before stopped,AI scepticism,1-500,Nothing (free only),0,0,0,0,0,0,1,Uncomfortable,progress_dashboards,indian_diet_plans,ai_workout_plans,Community features,Undecided
RESP_0022,Aspiring Urban Professional,35-44,5-8 times,Tier 2,25000-50000,Muscle gain,Sports performance,Moderately active,0,1,0,0,1,0,0,0,Morning (7-10AM),5,Non-vegetarian,5,Sometimes,Use 2+ apps actively,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes currently using,No significant barrier,1-500,300-599/month,1,1,0,0,0,0,0,Very comfortable,recovery_sleep_tracking,diet_calorie_tracking,progress_dashboards,Human coach access,Interested
RESP_0023,Budget-Conscious Student,18-24,1-4 times,Tier 3,25000-50000,General fitness,Look better/confident,Lightly active,0,1,0,1,0,0,1,0,Morning (7-10AM),3,Eggetarian,3,Often,Use 1 app occasionally,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes used before stopped,Complexity,1501-3000,99-299/month,1,1,0,0,1,0,0,Neutral,diet_calorie_tracking,ai_workout_plans,indian_diet_plans,Low price,Undecided
RESP_0024,Budget-Conscious Student,25-34,0 times,Tier 2,Below 25000,Stress relief,Enjoy being active,Highly active,1,0,0,0,1,0,0,0,Evening (5-8PM),2,Vegetarian,4,Sometimes,Tried but stopped,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No but interested,Cost,501-1500,Nothing (free only),0,0,0,0,0,0,1,Comfortable if secure,community_challenges,recovery_sleep_tracking,diet_calorie_tracking,Human coach access,Not Interested
RESP_0025,Budget-Conscious Student,18-24,9-12 times,Metro,,Weight loss,Enjoy being active,Lightly active,0,1,0,0,0,0,0,0,Evening (5-8PM),4,Eggetarian,3,Often,Tried but stopped,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes used before stopped,Cost,501-1500,99-299/month,0,0,0,0,0,0,0,Neutral,indian_diet_plans,ai_workout_plans,gamification_rewards,Low price,Undecided
RESP_0026,Homemaker Wellness Seeker,25-34,1-4 times,Tier 2,Below 25000,Flexibility,Look better/confident,Moderately active,1,0,1,1,0,1,1,0,Evening (5-8PM),2,Non-vegetarian,4,Rarely,Tried but stopped,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No and not interested,No significant barrier,1-500,99-299/month,0,0,0,0,0,0,0,Comfortable if secure,indian_diet_plans,recovery_sleep_tracking,community_challenges,Community features,Undecided
RESP_0027,Aspiring Urban Professional,25-34,1-4 times,Tier 2,50000-100000,Weight loss,Look better/confident,Highly active,1,0,0,0,1,1,1,0,Evening (5-8PM),4,Vegetarian,5,Rarely,Use 2+ apps actively,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes used before stopped,No significant barrier,501-1500,600-999/month,0,0,0,0,0,0,0,Comfortable if secure,ai_workout_plans,indian_diet_plans,community_challenges,AI personalisation,Not Interested
RESP_0028,Health-Driven Middle-Ager,35-44,13+ times,Tier 2,25000-50000,Flexibility,Sports performance,Athlete,0,0,0,1,0,0,0,0,Evening (5-8PM),4,Non-vegetarian,3,Sometimes,Not comfortable,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No but interested,Privacy concern,501-1500,600-999/month,0,1,1,0,0,0,0,Very comfortable,community_challenges,ai_workout_plans,progress_dashboards,Community features,Interested
RESP_0029,Health-Driven Middle-Ager,55+,5-8 times,Metro,25000-50000,General fitness,Look better/confident,Moderately active,0,0,0,0,1,0,0,0,Early morning (<7AM),4,Non-vegetarian,5,Rarely,Open but not started,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No but interested,Habit/consistency,1-500,99-299/month,0,0,0,0,0,0,0,Comfortable if secure,live_coach_access,diet_calorie_tracking,progress_dashboards,Community features,Interested
RESP_0030,Aspiring Urban Professional,25-34,5-8 times,Metro,50000-100000,Flexibility,Energy and health,Lightly active,1,0,0,0,0,0,0,0,Morning (7-10AM),4,Non-vegetarian,3,Sometimes,Use 2+ apps actively,3,0.0,0.0,0.0,0.0,0.0,0.0,,No but interested,AI scepticism,1-500,300-599/month,0,0,1,0,1,0,0,Comfortable if secure,ai_workout_plans,community_challenges,diet_calorie_tracking,Proven measurable results,Not Interested
RESP_0031,Health-Driven Middle-Ager,35-44,13+ times,Rural,100000-200000,Muscle gain,Manage/prevent condition,Sedentary,1,0,1,0,0,0,0,0,Early morning (<7AM),3,Vegetarian,5,Rarely,Tried but stopped,4,0.0,1.0,1.0,0.0,1.0,1.0,0.0,No but interested,AI scepticism,1-500,300-599/month,1,0,0,0,0,1,0,Neutral,community_challenges,ai_workout_plans,live_coach_access,Human coach access,Not Interested
RESP_0032,Aspiring Urban Professional,25-34,5-8 times,Metro,100000-200000,Muscle gain,Energy and health,Highly active,0,0,0,1,0,0,0,0,Night (>8PM),3,Vegetarian,5,Often,Tried but stopped,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes used before stopped,No significant barrier,1-500,300-599/month,1,1,0,0,0,0,0,Uncomfortable,gamification_rewards,live_coach_access,recovery_sleep_tracking,Human coach access,Interested
RESP_0033,Aspiring Urban Professional,35-44,1-4 times,Metro,100000-200000,Weight loss,Enjoy being active,Moderately active,1,0,0,0,0,0,0,0,Evening (5-8PM),3,No preference,3,Often,Tried but stopped,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No but interested,No significant barrier,501-1500,300-599/month,0,0,1,0,1,0,1,Comfortable if secure,progress_dashboards,indian_diet_plans,ai_workout_plans,AI personalisation,Interested
RESP_0034,Fitness Enthusiast,25-34,5-8 times,Tier 2,,Sports performance,Manage/prevent condition,Highly active,0,0,1,0,0,1,0,0,Early morning (<7AM),4,Eggetarian,5,Sometimes,Use 2+ apps actively,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,No and not interested,No significant barrier,3001-5000,300-599/month,1,1,1,0,0,0,0,Very comfortable,ai_workout_plans,live_coach_access,recovery_sleep_tracking,Proven measurable results,Interested
RESP_0035,Fitness Enthusiast,25-34,9-12 times,Tier 2,100000-200000,Stress relief,Energy and health,Athlete,1,1,0,1,0,0,0,0,Evening (5-8PM),5,Non-vegetarian,4,Sometimes,Open but not started,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes currently using,No significant barrier,1501-3000,600-999/month,0,1,0,1,0,0,0,Comfortable if secure,community_challenges,progress_dashboards,indian_diet_plans,Low price,Interested
RESP_0036,Homemaker Wellness Seeker,35-44,5-8 times,Tier 2,100000-200000,Stress relief,Look better/confident,Lightly active,1,0,0,1,0,0,0,0,Afternoon (12-4PM),4,Vegetarian,4,Sometimes,Use 2+ apps actively,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No but interested,Complexity,501-1500,300-599/month,1,0,0,0,0,0,1,Neutral,diet_calorie_tracking,indian_diet_plans,gamification_rewards,Community features,Undecided
RESP_0037,Budget-Conscious Student,18-24,1-4 times,Tier 2,50000-100000,Weight loss,Enjoy being active,Moderately active,0,1,1,0,0,1,0,0,Night (>8PM),5,Vegetarian,3,Sometimes,Open but not started,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No and not interested,Cost,1-500,99-299/month,0,0,0,0,0,0,1,Very uncomfortable,ai_workout_plans,recovery_sleep_tracking,community_challenges,Proven measurable results,Interested
RESP_0038,Aspiring Urban Professional,25-34,1-4 times,Metro,50000-100000,Stress relief,Enjoy being active,Lightly active,0,0,1,1,1,0,0,0,Morning (7-10AM),4,Vegetarian,4,Rarely,Open but not started,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes currently using,No significant barrier,3001-5000,99-299/month,0,1,0,1,0,0,0,Comfortable if secure,gamification_rewards,recovery_sleep_tracking,ai_workout_plans,AI personalisation,Interested
RESP_0039,Sedentary Skeptic,35-44,5-8 times,Metro,50000-100000,General fitness,Energy and health,Sedentary,1,0,1,0,0,0,0,0,Evening (5-8PM),2,Vegetarian,1,Sometimes,Tried but stopped,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,No and not interested,Complexity,1-500,300-599/month,0,0,0,0,0,0,1,Uncomfortable,ai_workout_plans,gamification_rewards,diet_calorie_tracking,Low price,Undecided
RESP_0040,Budget-Conscious Student,18-24,5-8 times,Metro,100000-200000,Weight loss,Social pressure,Highly active,0,1,0,0,1,1,0,0,Night (>8PM),5,Eggetarian,3,Often,Use 1 app occasionally,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No and not interested,Habit/consistency,1-500,Nothing (free only),0,0,1,0,0,0,0,Very comfortable,progress_dashboards,ai_workout_plans,community_challenges,Proven measurable results,Undecided
RESP_0041,Aspiring Urban Professional,25-34,5-8 times,Metro,50000-100000,Stress relief,Manage/prevent condition,Moderately active,1,1,0,0,0,0,1,0,Early morning (<7AM),5,Vegetarian,4,Sometimes,Use 2+ apps actively,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes currently using,Habit/consistency,501-1500,99-299/month,1,1,0,1,0,0,0,Uncomfortable,community_challenges,ai_workout_plans,indian_diet_plans,AI personalisation,Interested
RESP_0042,Health-Driven Middle-Ager,45-54,5-8 times,Tier 2,50000-100000,Muscle gain,Enjoy being active,Lightly active,0,0,0,1,0,0,0,0,Evening (5-8PM),4,Vegetarian,3,Sometimes,Open but not started,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes used before stopped,Privacy concern,3001-5000,300-599/month,0,0,0,1,0,0,0,Neutral,community_challenges,progress_dashboards,recovery_sleep_tracking,Low price,Interested
RESP_0043,Aspiring Urban Professional,25-34,1-4 times,Metro,100000-200000,Weight loss,Look better/confident,Lightly active,1,1,0,1,0,1,0,0,Night (>8PM),3,Non-vegetarian,5,Sometimes,Tried but stopped,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Yes used before stopped,AI scepticism,1-500,99-299/month,1,1,0,0,1,1,0,Very comfortable,live_coach_access,diet_calorie_tracking,progress_dashboards,Human coach access,Not Interested
RESP_0044,Fitness Enthusiast,35-44,13+ times,Metro,100000-200000,Muscle gain,Energy and health,Highly active,0,1,0,1,1,1,0,0,Morning (7-10AM),4,Non-vegetarian,4,Rarely,Open but not started,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes currently using,No significant barrier,501-1500,99-299/month,0,1,1,1,0,1,0,Comfortable if secure,ai_workout_plans,progress_dashboards,recovery_sleep_tracking,Human coach access,Interested
RESP_0045,Aspiring Urban Professional,55+,9-12 times,Metro,50000-100000,General fitness,Energy and health,Moderately active,1,1,0,1,1,0,0,0,Morning (7-10AM),5,No preference,3,Often,Tried but stopped,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes used before stopped,No significant barrier,1501-3000,300-599/month,0,0,0,0,0,1,0,Comfortable if secure,live_coach_access,recovery_sleep_tracking,diet_calorie_tracking,Low price,Interested
RESP_0046,Sedentary Skeptic,35-44,5-8 times,Metro,50000-100000,General fitness,Enjoy being active,Sedentary,0,1,0,0,1,0,0,1,Afternoon (12-4PM),3,Non-vegetarian,1,Daily,Use 1 app occasionally,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,No and not interested,Cost,0,99-299/month,0,0,0,0,0,0,1,Very uncomfortable,progress_dashboards,ai_workout_plans,diet_calorie_tracking,Low price,Not Interested
RESP_0047,Budget-Conscious Student,18-24,5-8 times,Metro,25000-50000,General fitness,Manage/prevent condition,Lightly active,1,1,0,0,0,1,0,0,Night (>8PM),4,Non-vegetarian,2,Often,Use 1 app occasionally,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No but interested,Cost,501-1500,1000+/month,0,0,0,0,1,0,0,Comfortable if secure,ai_workout_plans,indian_diet_plans,live_coach_access,Low price,Undecided
RESP_0048,Health-Driven Middle-Ager,35-44,5-8 times,Tier 3,100000-200000,General fitness,Sports performance,Moderately active,1,0,1,0,0,0,1,0,Afternoon (12-4PM),3,Vegetarian,5,Sometimes,Open but not started,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No but interested,No significant barrier,5000+,300-599/month,1,1,1,0,0,1,0,Comfortable if secure,community_challenges,diet_calorie_tracking,indian_diet_plans,Human coach access,Interested
RESP_0049,Health-Driven Middle-Ager,55+,1-4 times,Tier 3,Above 200000,Managing health condition,Manage/prevent condition,Athlete,0,0,0,1,0,0,0,0,Night (>8PM),5,Vegetarian,5,Sometimes,Open but not started,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Yes used before stopped,Habit/consistency,5000+,300-599/month,1,0,1,0,0,1,0,Comfortable if secure,community_challenges,ai_workout_plans,recovery_sleep_tracking,Proven measurable results,Undecided
RESP_0050,Aspiring Urban Professional,45-54,1-4 times,Metro,100000-200000,Muscle gain,Energy and health,Lightly active,0,1,0,1,1,0,0,0,Evening (5-8PM),3,Vegetarian,4,Sometimes,Tried but stopped,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes used before stopped,Cost,501-1500,300-599/month,1,1,0,0,0,0,0,Comfortable if secure,diet_calorie_tracking,indian_diet_plans,progress_dashboards,Human coach access,Undecided
RESP_0051,Fitness Enthusiast,25-34,9-12 times,Rural,Below 25000,Weight loss,Enjoy being active,Highly active,0,0,1,1,1,1,0,0,Early morning (<7AM),5,Non-vegetarian,4,Sometimes,Use 1 app occasionally,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes currently using,No significant barrier,1501-3000,600-999/month,0,1,0,0,0,1,0,Comfortable if secure,ai_workout_plans,community_challenges,recovery_sleep_tracking,Human coach access,Interested
RESP_0052,Sedentary Skeptic,35-44,0 times,Tier 2,Below 25000,Weight loss,Energy and health,Sedentary,0,0,0,0,0,0,0,1,Morning (7-10AM),3,Non-vegetarian,3,Daily,Open but not started,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No but interested,Cost,1-500,Nothing (free only),0,0,0,0,0,0,1,Uncomfortable,gamification_rewards,ai_workout_plans,indian_diet_plans,Low price,Undecided
RESP_0053,Fitness Enthusiast,35-44,5-8 times,Metro,50000-100000,Muscle gain,Enjoy being active,Highly active,1,0,1,0,1,0,1,0,Early morning (<7AM),5,Vegetarian,4,Rarely,Use 2+ apps actively,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes currently using,No significant barrier,3001-5000,99-299/month,1,1,0,1,0,0,0,Comfortable if secure,community_challenges,recovery_sleep_tracking,gamification_rewards,AI personalisation,Interested
RESP_0054,Homemaker Wellness Seeker,25-34,5-8 times,Tier 2,50000-100000,Managing health condition,Look better/confident,Moderately active,1,0,1,0,0,0,0,0,Morning (7-10AM),5,Non-vegetarian,4,Sometimes,Tried but stopped,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No and not interested,AI scepticism,501-1500,Nothing (free only),0,0,0,0,0,0,1,Comfortable if secure,diet_calorie_tracking,indian_diet_plans,ai_workout_plans,Community features,Interested
RESP_0055,Health-Driven Middle-Ager,35-44,5-8 times,Tier 3,50000-100000,General fitness,Energy and health,Lightly active,0,1,1,0,0,1,0,0,Morning (7-10AM),3,Non-vegetarian,5,Sometimes,Tried but stopped,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes used before stopped,AI scepticism,501-1500,300-599/month,0,0,0,1,1,1,0,Comfortable if secure,diet_calorie_tracking,progress_dashboards,recovery_sleep_tracking,Low price,Undecided
RESP_0056,Fitness Enthusiast,35-44,13+ times,Tier 3,Below 25000,Sports performance,Social pressure,Highly active,0,1,0,0,0,1,0,0,Early morning (<7AM),4,Vegetarian,4,Rarely,Use 2+ apps actively,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No but interested,No significant barrier,3001-5000,99-299/month,1,1,0,1,1,0,0,Very comfortable,indian_diet_plans,progress_dashboards,community_challenges,Proven measurable results,Interested
RESP_0057,Aspiring Urban Professional,25-34,1-4 times,Metro,100000-200000,Weight loss,Energy and health,Highly active,0,0,0,1,0,1,0,0,Early morning (<7AM),3,Vegetarian,5,Sometimes,Open but not started,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes currently using,No significant barrier,3001-5000,300-599/month,1,0,0,0,1,0,0,Neutral,ai_workout_plans,indian_diet_plans,diet_calorie_tracking,Human coach access,Undecided
RESP_0058,Aspiring Urban Professional,35-44,13+ times,Metro,Above 200000,General fitness,Sports performance,Moderately active,1,0,1,1,0,0,0,0,Early morning (<7AM),5,Non-vegetarian,3,Sometimes,Tried but stopped,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes used before stopped,No significant barrier,3001-5000,99-299/month,1,1,0,0,0,1,0,Neutral,diet_calorie_tracking,community_challenges,live_coach_access,Proven measurable results,Interested
